DateTime,Season,No.Customers,Average.age.of.customers,Tips.in.EUR,No.times.door.opened,Outside.temperatur.in.Celsius,Restaurant.temperature.in.Celsius,No.meals,No.drinks,Gas.consumption.in.kwh,Water.comsumption.in.liter,Electricity.consumption.in.kwh,No.transactions.with.card,No.transactions.with.cash,Total.revenue.in.EUR,Meal.revenue.in.EUR,Drink.revenue.in.EUR
04/01/2000 18:00,Winter,18,40,88.38,20,-1.5,21.2,115,137,240.62,116.53,439.82,12,6,1838.43,935.07,903.36
04/01/2000 19:00,Winter,19,40,80.18,20,-2.1,21.2,62,63,179.35,87.18,403,9,10,758.97,496.26,262.71
04/01/2000 20:00,Winter,25,38,113.25,30,-2.9,20.9,126,138,251.47,109.7,459.3,13,12,1456.88,1072.97,383.91
04/01/2000 21:00,Winter,17,29,68.34,20,-3.6,21.3,141,125,264.48,124.73,476.11,15,2,1660.27,1070.66,589.61
04/01/2000 22:00,Winter,8,28,39.44,14,-4.4,21.7,44,62,150.69,77.63,405.69,3,5,607.67,288.68,318.99
04/01/2000 23:00,Winter,1,29,3.9,4,-5.1,22,5,4,45.45,27.35,342.79,1,0,78.38,54.78,23.6
05/01/2000 10:00,Winter,16,50,86.88,20,0.7,21.3,67,48,184.41,65.08,374.59,2,14,844.72,670.98,173.74
05/01/2000 11:00,Winter,29,50,155.15,30,1.4,20.8,98,109,221.64,105.98,396.34,6,23,1247.45,921.51,325.94
05/01/2000 12:00,Winter,22,50,132.66,24,2.1,21.1,146,65,272.76,131.5,419.84,5,17,1899.33,1559.82,339.51
05/01/2000 13:00,Winter,22,49,100.98,22,2.5,21.1,122,83,247.96,136.91,404.14,9,13,1194.1,936.13,257.98
05/01/2000 14:00,Winter,5,24,14.45,4,2.8,21.8,24,27,101.59,45.01,294.3,3,2,443.86,294.09,149.76
05/01/2000 15:00,Winter,0,NA,0,6,2.9,22,0,0,46.94,20.23,234.62,0,0,0,0,0
05/01/2000 16:00,Winter,2,22,7.4,2,2.8,21.9,13,17,79.1,28.73,285.71,2,0,210.43,156.43,54.01
05/01/2000 17:00,Winter,7,24,31.99,14,2.5,21.7,66,24,180.3,80.03,360.45,3,4,493.04,383.73,109.31
05/01/2000 18:00,Winter,18,39,91.98,20,2.1,21.2,96,62,219.42,98.12,396.43,7,11,1076.75,822.15,254.6
05/01/2000 19:00,Winter,31,39,149.11,34,1.4,20.7,253,119,355.46,179.75,471.81,16,15,4531.52,4087.51,444.01
05/01/2000 20:00,Winter,23,40,111.78,28,0.7,21,63,181,180.72,73.96,378.91,10,13,1295.94,462.06,833.88
05/01/2000 21:00,Winter,14,30,64.26,10,-0.1,21.4,72,111,187.78,84.3,388.26,13,1,1968.32,1079.91,888.41
05/01/2000 22:00,Winter,4,29,17.68,8,-0.8,21.8,22,25,99.77,45.41,350.38,3,1,294.98,154.31,140.68
05/01/2000 23:00,Winter,4,23,15.24,8,-1.6,21.8,31,10,120.28,60.88,358.64,2,2,233.83,198.03,35.8
06/01/2000 10:00,Winter,17,47,92.99,20,-0.4,21.3,63,70,176.49,42.9,399.21,4,13,761.18,641.52,119.66
06/01/2000 11:00,Winter,16,51,79.36,24,0.3,21.3,134,115,252.4,121.06,434.46,7,9,1913.19,1413.51,499.68
06/01/2000 12:00,Winter,24,51,132.72,16,0.9,21,105,158,229.38,115.17,408.59,2,22,2110.7,1424.4,686.31
06/01/2000 13:00,Winter,13,49,52.39,14,1.4,21.5,84,37,208.29,95.69,387.74,5,8,772.6,575.08,197.52
06/01/2000 14:00,Winter,5,24,18.9,4,1.7,21.8,32,22,127.16,68.75,337.4,3,2,417.31,291.82,125.49
06/01/2000 15:00,Winter,2,20,4.72,4,1.8,21.9,12,14,72.39,30.93,276.55,1,1,178.09,101.09,77
06/01/2000 16:00,Winter,0,NA,0,12,1.7,22,0,0,6.48,4.64,255.35,0,0,0,0,0
06/01/2000 17:00,Winter,3,21,12.3,8,1.4,21.9,17,23,88.53,79.44,305.5,2,1,307.57,130.86,176.71
06/01/2000 18:00,Winter,13,41,52.39,14,0.9,21.4,57,88,168.2,84.45,370.04,5,8,957.6,478.02,479.58
06/01/2000 19:00,Winter,13,40,60.97,8,0.3,21.4,60,74,178.33,86.46,375.43,6,7,660.3,432.83,227.46
06/01/2000 20:00,Winter,14,40,60.9,16,-0.4,21.4,83,41,203.72,75.11,406.41,3,11,739.94,536.3,203.64
06/01/2000 21:00,Winter,13,28,42.9,12,-1.2,21.4,69,45,188.37,97.38,407.17,6,7,835.86,641.57,194.29
06/01/2000 22:00,Winter,7,28,23.73,4,-2,21.7,31,32,123.45,46.78,349.25,5,2,504.06,360.23,143.82
06/01/2000 23:00,Winter,2,28,8.26,6,-2.7,21.9,11,8,63.66,45.8,331.26,2,0,80.5,37.51,42.99
07/01/2000 10:00,Winter,20,50,84.2,24,0.6,21.1,126,65,254.48,105.85,424.59,4,16,1581.06,1308.77,272.29
07/01/2000 11:00,Winter,16,50,84,20,1.3,21.3,73,92,195.08,74.65,378.76,5,11,818.36,555.69,262.67
07/01/2000 12:00,Winter,20,48,99.2,22,1.9,21.2,138,67,262.54,114.11,421.41,9,11,1299.66,1072.73,226.93
07/01/2000 13:00,Winter,7,52,38.29,14,2.4,21.7,27,26,113.06,39.58,318.06,3,4,340,235.55,104.45
07/01/2000 14:00,Winter,10,23,35.2,10,2.7,21.6,46,63,146.16,75.04,339.86,6,4,999.52,496.49,503.03
07/01/2000 15:00,Winter,0,NA,0,4,2.8,22,0,0,46.75,20.38,258.53,0,0,0,0,0
07/01/2000 16:00,Winter,1,28,3.54,8,2.7,22,4,5,40.53,16.98,244.15,1,0,86.63,55.27,31.36
07/01/2000 17:00,Winter,10,25,47.1,20,2.4,21.6,51,36,158.63,79.51,345.14,6,4,948.44,710.97,237.47
07/01/2000 18:00,Winter,13,41,46.41,12,1.9,21.5,63,89,180.01,87.75,374.1,6,7,852.99,599.43,253.56
07/01/2000 19:00,Winter,25,40,127.5,20,1.3,20.9,125,59,248.72,123.41,421.94,13,12,1361.69,984.26,377.44
07/01/2000 20:00,Winter,35,40,186.2,32,0.6,20.5,192,260,309.45,153.46,459.96,14,21,2517.37,1266.74,1250.64
07/01/2000 21:00,Winter,13,28,47.84,14,-0.2,21.4,64,42,177.41,99.47,389.7,8,5,1001.35,812.3,189.05
07/01/2000 22:00,Winter,3,27,10.35,8,-1,21.9,17,18,89.48,20.67,340.41,1,2,238.57,159.52,79.06
07/01/2000 23:00,Winter,1,26,3.98,2,-1.7,22,6,6,58.09,30.33,285.42,1,0,79.76,46.28,33.48
08/01/2000 10:00,Winter,19,49,79.04,22,-1.5,21.2,96,54,219.69,106.95,434.78,4,15,1221.21,930,291.21
08/01/2000 11:00,Winter,30,49,166.5,36,-0.8,20.7,170,111,291.39,149.56,468.9,7,23,1394.06,855.8,538.26
08/01/2000 12:00,Winter,26,51,126.1,28,-0.1,20.9,145,158,269.63,122.33,446.36,4,22,1503.09,770.46,732.63
08/01/2000 13:00,Winter,27,50,124.74,28,0.3,20.8,148,187,269.72,123.53,445.91,9,18,1960.27,1138.34,821.93
08/01/2000 14:00,Winter,3,25,12.24,6,0.6,21.9,15,19,80,21.97,296.49,3,0,306.63,196.49,110.13
08/01/2000 15:00,Winter,2,21,5.94,10,0.7,21.9,5,13,69.96,3.3,262.45,2,0,160.44,73.24,87.21
08/01/2000 16:00,Winter,4,24,13.56,4,0.6,21.8,24,15,109.84,26.83,323.71,2,2,236.41,164.7,71.71
08/01/2000 17:00,Winter,3,24,12.81,4,0.3,21.9,18,15,88.63,15.33,322.63,1,2,244.79,176.15,68.64
08/01/2000 18:00,Winter,18,40,91.98,22,-0.1,21.2,81,95,200.81,79.59,402.48,9,9,971.12,488.25,482.87
08/01/2000 19:00,Winter,28,40,160.16,30,-0.8,20.8,196,173,312.44,159.69,473.39,10,18,1755.78,1123.74,632.04
08/01/2000 20:00,Winter,19,38,76.38,20,-1.5,21.2,79,81,194.94,50.23,409.58,8,11,1027.91,656.84,371.06
08/01/2000 21:00,Winter,23,30,90.85,24,-2.3,21,96,76,223.7,87.89,431.69,17,6,1424.93,1000.29,424.63
08/01/2000 22:00,Winter,7,30,25.27,6,-3,21.7,51,58,156.43,87.47,409.53,7,0,1125.34,737.24,388.11
08/01/2000 23:00,Winter,3,25,11.04,2,-3.8,21.9,9,25,53.86,10.08,281.22,2,1,300.93,138.23,162.7
09/01/2000 10:00,Winter,24,50,114.72,30,0.5,21,82,142,201.99,90.57,396.27,8,16,1294.28,734.19,560.09
09/01/2000 11:00,Winter,27,50,122.58,18,1.2,20.8,148,60,271.4,135.77,431.02,12,15,1143.9,860.77,283.13
09/01/2000 12:00,Winter,39,51,179.4,40,1.8,20.3,220,278,333.02,173.64,463.12,11,28,3308.26,1954.94,1353.32
09/01/2000 13:00,Winter,20,50,112.6,20,2.3,21.2,127,65,249.4,113.24,412.66,8,12,1129.24,869.59,259.65
09/01/2000 14:00,Winter,7,22,28.14,6,2.6,21.7,47,19,155.13,54.38,342.35,6,1,458.25,369.96,88.29
09/01/2000 15:00,Winter,3,22,12.78,6,2.7,21.9,15,8,86.59,43.31,294.91,3,0,157.81,96.59,61.22
09/01/2000 16:00,Winter,2,27,7.6,4,2.6,21.9,7,14,56.94,60.28,259.63,1,1,123.36,62.03,61.33
09/01/2000 17:00,Winter,10,25,37.5,14,2.3,21.6,51,41,156.32,99.06,352.37,7,3,621.02,400.24,220.78
09/01/2000 18:00,Winter,16,42,64.16,20,1.8,21.3,70,69,185.58,66.8,369.53,9,7,926.52,503.22,423.3
09/01/2000 19:00,Winter,21,39,97.23,22,1.2,21.1,137,146,262.08,122.51,427.99,10,11,1959.54,1293.69,665.85
09/01/2000 20:00,Winter,35,39,148.4,36,0.5,20.5,239,298,347.97,163.1,483.53,18,17,4284.55,2978.48,1306.07
09/01/2000 21:00,Winter,17,31,51,20,-0.3,21.3,107,119,234.54,97.65,426.37,9,8,1500.84,897.38,603.46
09/01/2000 22:00,Winter,9,29,34.38,6,-1.1,21.6,41,23,142.77,64.5,377.63,4,5,504.05,366.52,137.52
09/01/2000 23:00,Winter,1,22,3.68,8,-1.8,22,3,5,44.33,40.94,292.83,1,0,51.8,26.44,25.36
10/01/2000 10:00,Winter,18,48,85.14,26,2.4,21.2,95,147,224.1,83.86,385.69,9,9,1294.95,842.58,452.37
10/01/2000 11:00,Winter,31,50,121.52,26,3.1,20.7,275,267,370.15,199.41,469.73,5,26,4112.87,3527.7,585.16
10/01/2000 12:00,Winter,31,51,178.56,32,3.7,20.7,167,262,292.5,151.89,393.34,7,24,2383.14,1382.92,1000.22
10/01/2000 13:00,Winter,20,50,90.6,22,4.2,21.2,99,136,224.12,120.76,367.29,4,16,1346.74,948.85,397.89
10/01/2000 14:00,Winter,6,23,22.44,12,4.5,21.8,34,41,130.42,74.03,314.31,5,1,644,289.82,354.18
10/01/2000 15:00,Winter,0,NA,0,6,4.6,22.1,0,0,36.32,15.5,228.63,0,0,0,0,0
10/01/2000 16:00,Winter,2,27,7.04,4,4.5,22,9,15,62.33,20.08,258.74,2,0,213.87,125.32,88.55
10/01/2000 17:00,Winter,7,24,22.68,14,4.2,21.7,41,24,146.38,44.01,315.81,6,1,453.98,353.66,100.31
10/01/2000 18:00,Winter,17,39,79.9,28,3.7,21.3,128,130,252.34,125.33,394.24,10,7,2348.02,1473.83,874.19
10/01/2000 19:00,Winter,28,41,123.48,28,3.1,20.8,113,229,236.56,90.22,402.01,11,17,2012.77,1289.69,723.08
10/01/2000 20:00,Winter,22,38,115.06,24,2.4,21.1,155,134,275.76,150.16,426.78,14,8,2233.73,1862.36,371.37
10/01/2000 21:00,Winter,17,31,80.24,26,1.6,21.3,49,32,151.98,73.96,359.87,13,4,669.96,437.53,232.43
10/01/2000 22:00,Winter,9,30,37.17,14,0.8,21.6,36,24,132.06,32.7,358.33,7,2,558.28,459.27,99.01
10/01/2000 23:00,Winter,1,23,3.39,4,0.1,22,4,6,54.39,24.19,286.44,1,0,63.41,42.23,21.18
11/01/2000 10:00,Winter,19,48,88.54,16,-0.4,21.2,138,136,264.67,128.4,446.47,2,17,1296.55,899.11,397.44
11/01/2000 11:00,Winter,26,49,141.96,32,0.3,20.9,90,200,210.62,72.79,400.84,8,18,618.52,235.89,382.63
11/01/2000 12:00,Winter,25,47,105,30,1,20.9,117,100,247.27,118.87,418.72,6,19,1446.71,1072.29,374.41
11/01/2000 13:00,Winter,16,49,63.68,18,1.4,21.3,69,60,184.59,81.81,376.15,4,12,680.98,491.78,189.2
11/01/2000 14:00,Winter,4,22,16.8,4,1.7,21.8,24,27,117.29,45.01,311.79,2,2,251.32,156.85,94.47
11/01/2000 15:00,Winter,4,22,14.28,2,1.8,21.8,25,32,115.58,30.81,304.26,4,0,406.11,262.31,143.8
11/01/2000 16:00,Winter,0,NA,0,8,1.7,22,0,0,23.35,11.3,256.59,0,0,0,0,0
11/01/2000 17:00,Winter,8,28,29.84,10,1.4,21.7,35,59,133.82,42.6,352.22,6,2,653.28,338.17,315.11
11/01/2000 18:00,Winter,16,38,66.56,18,1,21.3,80,133,201.85,99,396.38,7,9,1338.56,806.07,532.5
11/01/2000 19:00,Winter,30,41,150,38,0.3,20.7,173,211,296.05,157.1,453.01,16,14,2271.09,1212.16,1058.93
11/01/2000 20:00,Winter,33,41,164.01,34,-0.4,20.6,153,203,275.74,132.43,452.29,17,16,2732.56,2163.49,569.07
11/01/2000 21:00,Winter,14,31,56.42,16,-1.2,21.4,50,51,155.54,92.66,373.25,7,7,746.29,516.9,229.39
11/01/2000 22:00,Winter,14,30,57.26,18,-1.9,21.4,89,123,210.69,108.81,434.53,11,3,1649.5,815.6,833.9
11/01/2000 23:00,Winter,1,24,3.31,4,-2.7,22,5,8,55.63,45.71,338.26,1,0,92.2,47.82,44.38
12/01/2000 10:00,Winter,23,52,115.92,30,-2.2,21,161,67,282.63,138.5,475.2,3,20,1355.52,1127.58,227.94
12/01/2000 11:00,Winter,33,50,158.07,34,-1.4,20.6,154,102,276.95,115.73,459.91,9,24,1275.65,911.05,364.6
12/01/2000 12:00,Winter,30,47,152.1,32,-0.8,20.7,187,246,310,163.83,472.36,8,22,1968.99,1012.71,956.27
12/01/2000 13:00,Winter,20,47,73.2,24,-0.3,21.1,116,109,241.7,107.59,427.47,5,15,1488.3,996.46,491.84
12/01/2000 14:00,Winter,8,24,27.12,10,0,21.7,29,62,124.7,49.57,337.35,5,3,670.75,223.89,446.86
12/01/2000 15:00,Winter,1,26,3.76,6,0.1,22,5,3,51.3,2.92,300.08,1,0,70.74,51.02,19.72
12/01/2000 16:00,Winter,2,26,7.4,10,0,21.9,7,14,50.07,38.73,289.18,2,0,132.09,78.91,53.18
12/01/2000 17:00,Winter,7,26,28.14,12,-0.3,21.7,32,32,130.6,71.37,344.67,6,1,336.8,149.54,187.25
12/01/2000 18:00,Winter,12,39,51.12,14,-0.8,21.5,88,89,216.96,111.86,410.69,4,8,912.51,467.11,445.39
12/01/2000 19:00,Winter,28,39,94.92,30,-1.4,20.8,90,95,214.66,71.93,426.5,13,15,1067.02,705.63,361.39
12/01/2000 20:00,Winter,29,39,116.29,30,-2.2,20.7,197,117,312.43,148.3,492.24,19,10,2836.45,2326.73,509.72
12/01/2000 21:00,Winter,25,30,88,20,-2.9,20.9,144,194,268.1,134.57,469.59,16,9,3398.51,2057.96,1340.55
12/01/2000 22:00,Winter,9,30,43.02,16,-3.7,21.6,60,29,170.75,79.59,424.62,4,5,541.37,452.08,89.29
12/01/2000 23:00,Winter,4,26,12.28,6,-4.4,21.8,23,29,107.66,16.66,380.62,2,2,335.07,213.1,121.97
13/01/2000 10:00,Winter,17,49,75.31,20,0.4,21.3,75,141,194.54,86.75,396.72,6,11,989.34,596.12,393.22
13/01/2000 11:00,Winter,20,49,114.8,22,1.1,21.1,70,91,187.22,89.31,372.11,7,13,1014.69,623.41,391.28
13/01/2000 12:00,Winter,27,52,154.44,30,1.8,20.8,152,121,275.26,133.41,431.54,7,20,1375.73,925.66,450.07
13/01/2000 13:00,Winter,13,48,65.65,12,2.2,21.5,74,70,193.4,89.94,370.93,4,9,1079.66,695.23,384.42
13/01/2000 14:00,Winter,7,24,28,6,2.5,21.7,28,53,117.53,19.18,300.81,4,3,605.39,376.78,228.61
13/01/2000 15:00,Winter,1,26,3.18,4,2.6,22,6,8,60.39,33.86,243.64,0,1,109.82,62.67,47.16
13/01/2000 16:00,Winter,0,NA,0,6,2.5,22,0,0,29.48,16.17,251.38,0,0,0,0,0
13/01/2000 17:00,Winter,10,27,36.5,8,2.2,21.6,53,26,164.42,47.56,347.45,7,3,850.63,683.34,167.29
13/01/2000 18:00,Winter,23,40,85.1,20,1.8,21,98,176,216.42,90.22,398.68,9,14,1756.18,854.09,902.09
13/01/2000 19:00,Winter,31,39,168.02,28,1.1,20.7,151,243,275.64,130.63,436.54,17,14,2486.53,1494.86,991.67
13/01/2000 20:00,Winter,21,40,98.28,24,0.4,21.1,99,158,220.77,103.24,414.3,12,9,1388.61,528.52,860.1
13/01/2000 21:00,Winter,15,29,43.35,12,-0.4,21.4,95,88,214.14,71.85,411.98,11,4,1481.07,848.91,632.16
13/01/2000 22:00,Winter,7,30,34.79,4,-1.1,21.7,18,53,98.43,66.72,329.52,4,3,431.66,178.11,253.55
13/01/2000 23:00,Winter,0,NA,0,4,-1.9,22,0,0,31.19,48.81,292.85,0,0,0,0,0
14/01/2000 10:00,Winter,11,51,45.21,14,-2.9,21.5,36,103,135.67,57.59,373.7,3,8,824.33,355.4,468.93
14/01/2000 11:00,Winter,29,51,146.45,34,-2.2,20.7,144,189,270.34,128.52,468.99,8,21,1696.71,714.69,982.02
14/01/2000 12:00,Winter,27,49,137.97,30,-1.6,20.8,187,133,303.46,161.06,484.98,9,18,2141.66,1621.63,520.03
14/01/2000 13:00,Winter,17,48,78.88,16,-1.1,21.3,81,130,203.17,98.6,411.76,6,11,1113.73,544.55,569.18
14/01/2000 14:00,Winter,5,22,17,10,-0.8,21.8,37,15,135.19,42.08,363.89,4,1,543.47,435.75,107.72
14/01/2000 15:00,Winter,6,27,23.1,12,-0.7,21.7,48,36,155.32,36.22,380.31,3,3,763.79,567.02,196.77
14/01/2000 16:00,Winter,1,21,4.09,6,-0.8,22,6,3,50.7,41.77,291.92,1,0,79.55,65.9,13.66
14/01/2000 17:00,Winter,6,24,19.56,8,-1.1,21.7,26,40,117.86,44.41,356.16,5,1,480.75,241.5,239.25
14/01/2000 18:00,Winter,20,40,91.8,26,-1.6,21.1,91,164,216.11,115.48,423.37,11,9,1656.6,898.53,758.07
14/01/2000 19:00,Winter,30,39,115.2,30,-2.2,20.7,183,110,303.28,159.64,490.93,17,13,2287.03,1695.69,591.34
14/01/2000 20:00,Winter,25,40,104.5,30,-2.9,20.9,167,100,291.81,141.55,489.26,15,10,2346.59,1949.74,396.85
14/01/2000 21:00,Winter,19,30,86.26,28,-3.7,21.2,103,35,225.14,90.71,453,10,9,987.39,811.41,572.2
14/01/2000 22:00,Winter,12,29,45.24,18,-4.5,21.5,95,47,222.27,105,451.62,10,2,855.71,594.96,260.75
14/01/2000 23:00,Winter,0,NA,0,6,-5.2,22,0,0,7.68,30.81,299.31,0,0,0,0,0
15/01/2000 10:00,Winter,12,50,62.52,16,-1.6,21.5,74,92,194.67,90.64,412.31,4,8,1074.47,536.38,538.09
15/01/2000 11:00,Winter,31,49,142.29,24,-0.8,20.7,157,107,280.63,136.11,454.68,5,26,1687.62,1262.84,424.77
15/01/2000 12:00,Winter,23,50,127.65,20,-0.2,21,148,110,271.53,134.51,447.19,10,13,1440.62,976.65,463.98
15/01/2000 13:00,Winter,14,47,71.68,10,0.3,21.4,78,128,197.25,110.78,388.77,7,7,1109.75,756.27,353.48
15/01/2000 14:00,Winter,8,24,23.2,14,0.6,21.7,38,55,141.89,40.11,358.97,6,2,651.43,382.83,268.6
15/01/2000 15:00,Winter,2,21,6.64,4,0.7,21.9,8,14,63.53,9.22,303.05,2,0,150.36,80.06,70.3
15/01/2000 16:00,Winter,4,25,13.44,4,0.6,21.8,20,16,105.56,12.46,322.02,3,1,290.44,207.56,82.87
15/01/2000 17:00,Winter,6,25,15.48,12,0.3,21.7,31,34,125.49,40.53,338.19,4,2,445.67,241.73,203.94
15/01/2000 18:00,Winter,16,40,72.96,16,-0.2,21.3,81,116,202.66,78.46,404.44,7,9,1492.07,785.22,706.85
15/01/2000 19:00,Winter,30,39,105,42,-0.8,20.7,163,95,284.25,110.84,456.33,14,16,1588.85,1237.74,351.11
15/01/2000 20:00,Winter,31,40,135.47,32,-1.6,20.7,115,148,239.9,122.45,442.35,19,12,2454.33,1665.67,788.66
15/01/2000 21:00,Winter,18,29,73.08,28,-2.3,21.2,74,83,191.27,81.96,419.35,12,6,1403.72,900.44,503.28
